,volatility
IBDU,0.004658370307631867
OVB,0.004810367293559372
RIGS,0.004596044505245379
HYHG,0.005774430926574447
HYGH,0.00537173828968581
IBDV,0.0039935345518785715
BSJQ,0.005372313468424833
AFIF,0.003998681321217106
EMBD,0.005642472920310562
IMTB,0.00326956661973027
BNDC,0.005121027836052924
PICB,0.006014127761703575
IBMO,0.002875807625006385
HYXF,0.005268602228823564
FLMB,0.0035340669799583764
ELD,0.006622583435525264
TBX,0.004524058857438105
BSCT,0.004619529678798924
PZT,0.005089534605742243
RFCI,0.0031198429835535856
CBON,0.0036153653401463236
FCAL,0.0033287983440098297
HTAB,0.003197233319070162
MBSD,0.0026677243625903646
IHY,0.004807948584015916
IIGD,0.002363281906784813
NUHY,0.00540349067015283
FISR,0.004021876368885777
JMUB,0.0026200640212116055
GRNB,0.0030871915838504814
EMTL,0.002943695462155621
HYBB,0.004247506183674908
AVIG,0.003809346327196195
SCHQ,0.009736625002470287
SHYL,0.004245569066384637
FFIU,0.004550139971682434
LQDI,0.006890506367895739
IBMQ,0.0035292801341137406
ISHG,0.004868414274263382
JPMB,0.006112575231347021
PST,0.008790894312599265
RDFI,0.005026011522313692
PHYL,0.004842777456386469
IBMP,0.00318580014929525
LKOR,0.008135559935659013
SJB,0.0053861729783897866
EMCB,0.005128497371707479
FLMI,0.002983523821458972
FLBL,0.003634443836760825
ARCM,0.0019858717099847847
PBTP,0.001687178117056477
SEIX,0.002765576417417755
PVI,0.0011882667031199471
UBT,0.018639823429416263
PFIG,0.0033394333347510946
BKHY,0.004681908252450599
OVT,0.002884444761416288
PIFI,0.0022073307441400564
BSJR,0.005963568766401625
MBND,0.0021602939353562896
XOVR,0.017000713082434817
THY,0.0028355868843471647
NUSA,0.0017220232533222033
AVSF,0.0015992770729100685
IHYF,0.0035097136565684453
MTGP,0.0033388417302224146
SPSK,0.0034816801808574475
FLRT,0.003855861751335457
LGOV,0.005828409976713716
IBTH,0.0026802989973292845
UJB,0.013054843661402037
TYO,0.012892933151544772
BSCU,0.0041209333257813605
AVMU,0.0025226156575835074
BSMQ,0.0030157160879544483
INMU,0.0022521069844105425
GSIG,0.001715818418677452
KHYB,0.0036047248150571647
TYD,0.013611965548509092
HYUP,0.006178804160620238
NFLT,0.003083843493371988
RTAI,0.005722307924972755
JHCB,0.004367495937613892
IBHF,0.0036085121920468545
UST,0.00822689183298326
IBTI,0.0032949333088029714
BSMS,0.0035840685895420425
BSMR,0.003541798436462106
IBTJ,0.0038138758375552695
ADFI,0.0037346440436924577
IBTG,0.0021989791381894974
VABS,0.0014265341478764486
BSMT,0.0040835079144092255
BSJS,0.004550248601414725
MIG,0.003940849592060414
OVM,0.004152776657620634
BSMU,0.0032069814296703655
FIGB,0.003910957482422818
AAA,0.0013412899313636664
BILS,0.00018823497125748355
MBBB,0.003947644442140484
FSEC,0.004200336164674755
TFJL,0.005734866212770985
HYTR,0.003715389550540195
TBJL,0.0068095122994145385
FLUD,0.0007987268405180298
IBTK,0.004180228393500709
MINN,0.0031698130204228956
HISF,0.007257514744371724
BBAG,0.0036693016019833454
BBCB,0.0047212027057778215
BBHY,0.004770540380933195
FXED,0.005429195895367856
GOVI,0.005999768941193832
