date,DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_MA30,GPRD_MA7,event,var_name,var_label
2021-03-30,20210330,729,95.42375946044922,99.66004180908203,83.1263198852539,77.59318542480469,77.94664764404297,,,
2021-03-31,20210331,781,76.34598541259766,76.1109848022461,70.53787231445312,76.9281997680664,77.93266296386719,,,
2021-04-01,20210401,734,67.69552612304688,62.98801040649414,90.06552124023438,74.60240936279297,78.4913101196289,,,
2021-04-02,20210402,605,65.70381927490234,54.58464813232422,72.84638214111328,71.6396484375,77.9087905883789,,,
2021-04-03,20210403,938,91.81957244873047,42.24781799316406,123.33599090576172,71.75222778320312,85.1219253540039,,,
2021-04-04,20210404,424,23.437978744506836,0.0,38.97882843017578,69.56741333007812,77.66600799560547,,,
2021-04-05,20210405,622,74.55940246582031,42.47422790527344,88.56925201416016,70.11954498291016,70.71229553222656,,,
2021-04-06,20210406,714,92.78900909423828,27.751020431518555,131.16685485839844,72.66991424560547,70.33589935302734,,,
2021-04-07,20210407,786,113.79048919677734,67.22384643554688,168.21397399902344,74.44967651367188,75.68511199951172,,,
2021-04-08,20210408,713,32.52170181274414,37.053253173828125,54.085628509521484,74.79167175292969,70.6602783203125,,,
2021-04-09,20210409,759,48.00822830200195,26.105703353881836,65.3241958618164,74.4805679321289,68.13233947753906,,,
2021-04-10,20210410,1021,32.44434356689453,12.937790870666504,43.16558074951172,73.21582794189453,59.65016555786133,,,
2021-04-11,20210411,407,48.83392333984375,48.6836051940918,54.142581939697266,73.1976318359375,63.27815628051758,,,
2021-04-12,20210412,660,100.38084411621094,120.08622741699219,133.55169677734375,74.1241226196289,66.96693420410156,,,
2021-04-13,20210413,730,95.29304504394531,72.38074493408203,143.3851318359375,75.8399887084961,67.32465362548828,,,
2021-04-14,20210414,729,186.30352783203125,144.96005249023438,294.7205810546875,78.33001708984375,77.68366241455078,,,
2021-04-15,20210415,802,103.25959777832031,41.176700592041016,151.11990356445312,78.14395141601562,87.78907012939453,,,
2021-04-16,20210416,732,95.03267669677734,18.045743942260742,142.9933624267578,78.2013168334961,94.50685119628906,,,
2021-04-17,20210417,980,101.40513610839844,87.61392974853516,101.18585205078125,77.08348083496094,104.35839080810547,,,
2021-04-18,20210418,423,54.817909240722656,62.45619583129883,39.07097625732422,77.48229217529297,105.21324920654297,,,
2021-04-19,20210419,660,110.41893005371094,150.1077880859375,100.16377258300781,80.17996978759766,106.64726257324219,,,
2021-04-20,20210420,714,125.26516723632812,129.5047607421875,138.88255310058594,83.47913360595703,110.92899322509766,,,
2021-04-21,20210421,737,166.30258178710938,62.73161315917969,261.6217956542969,85.05065155029297,108.07171630859375,,,
2021-04-22,20210422,757,113.77379608154297,61.07423400878906,145.5484161376953,85.52765655517578,109.57374572753906,,,
2021-04-23,20210423,745,146.73118591308594,115.25054168701172,177.4713897705078,87.87056732177734,116.95924377441406,,,
2021-04-24,20210424,948,111.8166275024414,139.34056091308594,98.79022216796875,89.47161865234375,118.44660186767578,,,
2021-04-25,20210425,399,16.60434913635254,33.10647964477539,13.807036399841309,87.69905090332031,112.98751831054688,,,
2021-04-26,20210426,669,54.46673583984375,39.490238189697266,57.64282989501953,88.13702392578125,104.99434661865234,,,
2021-04-27,20210427,780,131.65333557128906,143.94952392578125,98.87963104248047,90.00448608398438,105.90694427490234,,,
2021-04-28,20210428,794,50.063995361328125,33.27326202392578,62.444671630859375,87.56543731689453,89.30142974853516,,,
2021-04-29,20210429,769,47.383934020996094,68.7099380493164,28.65543556213379,85.964111328125,79.81716918945312,,,
2021-04-30,20210430,728,36.4018440246582,27.217348098754883,37.83658981323242,84.63263702392578,64.05583190917969,,,
2021-05-01,20210501,1004,56.08929443359375,19.735286712646484,82.30589294433594,84.24576568603516,56.094783782958984,,,
2021-05-02,20210502,401,49.56460189819336,16.470680236816406,68.69086456298828,83.70779418945312,60.80339050292969,,,
2021-05-03,20210503,612,97.42845916748047,86.33650207519531,90.01647186279297,83.8947525024414,66.94078063964844,,,
2021-05-04,20210504,741,93.87843322753906,71.30625915527344,104.08381652832031,86.24276733398438,61.54436492919922,,,
2021-05-05,20210505,768,60.385345458984375,8.59992504119873,93.25143432617188,85.77030181884766,63.01884460449219,,,
2021-05-06,20210506,738,76.30575561523438,53.69709396362305,111.97169494628906,85.22086334228516,67.1505355834961,,,
2021-05-07,20210507,770,55.92646408081055,8.577588081359863,85.85466766357422,83.29206085205078,69.93976593017578,,,
2021-05-08,20210508,929,3.56573486328125,0.0,5.93004035949707,82.32685852050781,62.436397552490234,,,
2021-05-09,20210509,398,8.323034286499023,0.0,13.841727256774902,81.00402069091797,56.54474639892578,,,
2021-05-10,20210510,676,49.002479553222656,9.770329475402832,73.34477233886719,81.55596160888672,49.62675094604492,,,
2021-05-11,20210511,753,101.1806869506836,78.94114685058594,124.37335205078125,83.30084991455078,50.66992950439453,,,
2021-05-12,20210512,785,63.2974739074707,33.65473937988281,84.2141342163086,82.06473541259766,51.08594512939453,,,
2021-05-13,20210513,802,140.43304443359375,131.76544189453125,144.25082397460938,83.56940460205078,60.246986389160156,,,
2021-05-14,20210514,804,115.36304473876953,73.93368530273438,143.89199829101562,81.20471954345703,68.73793029785156,,,
2021-05-15,20210515,1013,88.29153442382812,26.079933166503906,130.51943969726562,80.7057876586914,80.84161376953125,,,
2021-05-16,20210516,403,49.318626403808594,32.77787780761719,54.67997741699219,79.1819839477539,86.69812774658203,,,
2021-05-17,20210517,647,92.1579818725586,40.83302688598633,127.72042083740234,78.87374877929688,92.86319732666016,,,
2021-05-18,20210518,672,98.58832550048828,108.11334991455078,114.77099609375,80.332763671875,92.49285888671875,,,
2021-05-19,20210519,646,158.9622344970703,92.01653289794922,204.66900634765625,81.95086669921875,106.15925598144531,,,
2021-05-20,20210520,737,125.85060119628906,89.61659240722656,134.54835510253906,81.97038269042969,104.0760498046875,,,
2021-05-21,20210521,739,165.85250854492188,125.1236801147461,171.45761108398438,81.95538330078125,111.28883361816406,,,
2021-05-22,20210522,972,68.15982818603516,20.385007858276367,102.01866149902344,80.4349136352539,108.41287231445312,,,
2021-05-23,20210523,402,65.92174530029297,82.14854431152344,54.81599426269531,77.74127197265625,110.78474426269531,,,
2021-05-24,20210524,718,138.4081268310547,101.1868667602539,176.47238159179688,78.62765502929688,117.39190673828125,,,
2021-05-25,20210525,717,170.94143676757812,46.05817794799805,276.6029052734375,83.77222442626953,127.72806549072266,,,
