Date,data
2026-01-29 00:00:00-05:00,24.915369033813477
2026-01-30 00:00:00-05:00,24.92519760131836
2026-02-02 00:00:00-05:00,24.92915153503418
2026-02-03 00:00:00-05:00,24.949913024902344
2026-02-04 00:00:00-05:00,24.91926383972168
2026-02-05 00:00:00-05:00,24.92915153503418
2026-02-06 00:00:00-05:00,24.939037322998047
2026-02-09 00:00:00-05:00,24.92420768737793
2026-02-10 00:00:00-05:00,24.939037322998047
2026-02-11 00:00:00-05:00,24.92915153503418
2026-02-12 00:00:00-05:00,24.91926383972168
2026-02-13 00:00:00-05:00,24.943981170654297
2026-02-17 00:00:00-05:00,24.939037322998047
2026-02-18 00:00:00-05:00,24.889604568481445
2026-02-19 00:00:00-05:00,24.790739059448242
2026-02-20 00:00:00-05:00,24.810510635375977
2026-02-23 00:00:00-05:00,24.746248245239258
2026-02-24 00:00:00-05:00,24.627607345581055
2026-02-25 00:00:00-05:00,24.588064193725586
2026-02-26 00:00:00-05:00,24.60289192199707
2026-02-27 00:00:00-05:00,24.316179275512695
2026-03-02 00:00:00-05:00,24.28934097290039
2026-03-03 00:00:00-05:00,24.234668731689453
2026-03-04 00:00:00-05:00,24.03089141845703
2026-03-05 00:00:00-05:00,24.025920867919922
2026-03-06 00:00:00-05:00,24.28934097290039
2026-03-09 00:00:00-04:00,24.319162368774414
2026-03-10 00:00:00-04:00,24.239639282226562
2026-03-11 00:00:00-04:00,24.33904457092285
2026-03-12 00:00:00-04:00,24.388744354248047
2026-03-13 00:00:00-04:00,24.483179092407227
2026-03-16 00:00:00-04:00,24.50802993774414
2026-03-17 00:00:00-04:00,24.537851333618164
2026-03-18 00:00:00-04:00,24.4682674407959
2026-03-19 00:00:00-04:00,24.453357696533203
2026-03-20 00:00:00-04:00,24.438446044921875
2026-03-23 00:00:00-04:00,24.537851333618164
2026-03-24 00:00:00-04:00,24.560714721679688
2026-03-25 00:00:00-04:00,24.54779052734375
2026-03-26 00:00:00-04:00,24.478208541870117
2026-03-27 00:00:00-04:00,24.47323989868164
2026-03-30 00:00:00-04:00,24.478208541870117
2026-03-31 00:00:00-04:00,24.51300048828125
2026-04-01 00:00:00-04:00,24.510000228881836
2026-04-02 00:00:00-04:00,24.545000076293945
2026-04-06 00:00:00-04:00,24.56999969482422
2026-04-07 00:00:00-04:00,24.53499984741211
2026-04-08 00:00:00-04:00,24.614999771118164
2026-04-09 00:00:00-04:00,24.6200008392334
2026-04-10 00:00:00-04:00,24.655000686645508
