,expected_return
MEAR,6.529361699682697e-05
FLTB,9.546506963760258e-05
FCOR,0.00011993509063077805
FCVT,0.0004362995611772362
DEED,5.408797854548801e-05
USTB,0.0001328094923349239
FEMB,6.29363982575964e-05
NUBD,6.370316873340181e-05
HCRB,4.0242774977431016e-05
JAAA,0.00017200936036961128
VCEB,1.8052770021506508e-05
TFLO,7.621587222461704e-05
BGRN,9.400669199638433e-05
MLN,0.00012930977781340305
MMIT,0.00010823321050780472
GCOR,-1.4474156543520658e-05
IBD,9.257233236894788e-05
PGHY,0.00016697044226344037
FLDR,0.0001321870120034097
BSCS,0.00015528572534067328
AGZD,9.797287005996798e-05
TIPZ,0.00012772750855225356
HMOP,0.00010862934122603225
FLIA,4.436096725712666e-05
XMPT,0.0001796150219953317
BWZ,4.197167259397854e-06
LDSF,9.832679564149459e-05
TTT,-6.153517864283387e-05
GHYB,0.00019157874653980358
BKAG,9.802907427618618e-06
GHYG,0.00019293857604551828
STOT,9.676887160524652e-05
HYZD,0.0001775437939176828
TAXF,0.0001133256970385408
EMHC,8.481673146629569e-05
OPER,0.00010667142959521305
FUMB,7.245660466719653e-05
EMNT,0.00011996428182575457
FSMB,8.73024254853656e-05
JCPB,0.00011371694065404452
HYDB,0.00022210144939775655
SHAG,8.661344774432518e-05
FLHY,0.00024001267950662906
IGEB,0.0001305687024319115
IBND,7.464384722198488e-05
GTIP,0.0001406295140172564
JSCP,9.625240339303818e-05
RVNU,0.00012127687872795707
KORP,0.00011749671304255098
BYLD,0.00012180767925983938
IBDU,0.00010596090085554462
OVB,8.659745296691118e-05
RIGS,0.00013521419017871515
HYHG,0.00017436576878891914
HYGH,0.00019290465424122856
IBDV,5.225774526744346e-05
BSJQ,0.00020036778189023102
AFIF,0.00010938025005972363
EMBD,0.00017075371921265148
IMTB,8.198043627450956e-05
BNDC,8.354169180902031e-05
PICB,9.611675255964213e-05
IBMO,7.633268561359747e-05
HYXF,0.00021254584146423766
FLMB,9.420446418475144e-05
ELD,7.196541370350126e-05
TBX,-3.8979860371538256e-05
BSCT,0.00010875748968243675
PZT,0.00012841372698792642
RFCI,8.273896438967537e-05
CBON,9.463350203460901e-05
FCAL,0.00010595021615996356
HTAB,8.898764226188607e-05
MBSD,6.289457236718422e-05
IHY,0.0001711659369088131
IIGD,0.00012025238436951807
NUHY,0.00015203355541888722
FISR,4.2899891260172486e-05
JMUB,0.00012172421814077797
GRNB,9.336377968464041e-05
EMTL,0.00013577690423147306
HYBB,0.00017193911753039562
AVIG,3.863418658576824e-06
SCHQ,-0.00010144064150707828
SHYL,0.00019634533640750933
FFIU,7.645603482812376e-05
LQDI,0.00019442159054346324
IBMQ,8.494154711584541e-05
ISHG,-1.1641134179969904e-05
JPMB,0.00011868166358293246
PST,-0.00018536928734597558
RDFI,0.0002466176130188749
PHYL,0.00022347395541080436
IBMP,7.99988804621046e-05
LKOR,0.0001568567655257035
SJB,-0.000195887766799443
EMCB,0.00015712993957958888
FLMI,0.00012055991897864235
FLBL,0.000180775500625643
ARCM,9.328674704164826e-05
PBTP,0.00013383196042181773
SEIX,0.00020129100853956574
PVI,3.858057785041824e-05
UBT,0.0002026368913371078
PFIG,0.0001150796442645365
BKHY,0.00026525710288702336
OVT,0.00012198476173260718
PIFI,3.590908938299073e-05
BSJR,0.00017739777518509687
MBND,2.5630832415222106e-05
XOVR,0.0004728643772662488
THY,9.176588647606858e-05
NUSA,8.797256237856111e-05
AVSF,6.838724385032376e-05
IHYF,0.00017248315713092315
MTGP,4.651767968329649e-05
SPSK,4.1783662569324604e-05
FLRT,0.00017504239730979255
LGOV,6.80739452569972e-05
IBTH,2.679704476005734e-05
UJB,0.0003440108013738765
TYO,-0.00021293781646798462
BSCU,2.3901876590203975e-05
AVMU,3.341580439076262e-05
BSMQ,5.197646998652053e-05
INMU,8.386981696810683e-05
GSIG,8.57284026237534e-05
KHYB,8.003305736947581e-05
TYD,0.00014586130074124533
HYUP,0.00021401847388903626
NFLT,0.00016013927382151842
RTAI,7.176680873278052e-05
JHCB,4.86873699980036e-05
IBHF,0.00019233694611121382
UST,0.00013793518590349036
IBTI,1.4201049194557716e-05
BSMS,5.40297789319213e-05
BSMR,5.400733428086458e-05
IBTJ,4.602002410061985e-06
ADFI,-1.2718535658919257e-05
IBTG,3.920664044680804e-05
VABS,0.0001239741982731869
BSMT,4.5353209750185934e-05
BSJS,0.00015341336761485425
MIG,4.3360917020690894e-05
OVM,0.0001101746832398064
BSMU,1.647971917896502e-05
FIGB,2.5440813718610624e-05
AAA,0.00015947338784328414
BILS,0.00011372152365205842
MBBB,5.1330828151025754e-05
FSEC,2.848806155794018e-05
TFJL,-0.0001469435284650148
HYTR,7.142234931751626e-05
TBJL,-0.000131637383973537
FLUD,0.00012785812415299342
IBTK,-5.536969118300087e-05
MINN,-2.2818869734849113e-06
HISF,0.00015073717249568347
BBAG,8.036795052852145e-05
BBCB,0.00012908111539013917
BBHY,0.00019812810774954778
FXED,0.0001421692494510134
GOVI,0.00013602242235342715
TBLL,9.379539948726437e-05
VSHY,0.00016781872356899338
