,Date,GPR,d_GPR
39,1985-10-04,159.81686401367188,15.79217529296875
40,1985-10-11,82.12977600097656,-77.68708801269531
41,1985-10-18,118.30599212646484,36.17621612548828
42,1985-10-25,85.30216979980469,-33.003822326660156
43,1985-11-01,100.14739227294922,14.845222473144531
44,1985-11-08,70.03314208984375,-30.11425018310547
45,1985-11-15,86.79216766357422,16.75902557373047
46,1985-11-22,138.02365112304688,51.231483459472656
47,1985-11-29,93.21077728271484,-44.81287384033203
48,1985-12-06,84.93763732910156,-8.273139953613281
49,1985-12-13,42.92744445800781,-42.01019287109375
50,1985-12-20,126.05966186523438,83.13221740722656
51,1985-12-27,109.85556030273438,-16.2041015625
52,1986-01-03,166.87998962402344,57.02442932128906
53,1986-01-10,204.4794921875,37.59950256347656
54,1986-01-17,155.276611328125,-49.202880859375
55,1986-01-24,87.17283630371094,-68.10377502441406
56,1986-01-31,96.77163696289062,9.598800659179688
57,1986-02-07,40.2010612487793,-56.57057571411133
58,1986-02-14,38.698219299316406,-1.5028419494628906
59,1986-02-21,131.882080078125,93.1838607788086
60,1986-02-28,119.37181091308594,-12.510269165039062
61,1986-03-07,74.10665893554688,-45.26515197753906
62,1986-03-14,85.33546447753906,11.228805541992188
63,1986-03-21,97.20853424072266,11.873069763183594
64,1986-03-28,131.62521362304688,34.41667938232422
65,1986-04-04,66.84553527832031,-64.77967834472656
66,1986-04-11,190.8161163330078,123.9705810546875
67,1986-04-18,222.8873748779297,32.071258544921875
68,1986-04-25,101.25752258300781,-121.62985229492188
69,1986-05-02,80.43762969970703,-20.81989288330078
70,1986-05-09,66.25135040283203,-14.186279296875
71,1986-05-16,101.47909545898438,35.227745056152344
72,1986-05-23,81.70010375976562,-19.77899169921875
73,1986-05-30,72.96404266357422,-8.736061096191406
74,1986-06-06,100.38084411621094,27.41680145263672
75,1986-06-13,164.87893676757812,64.49809265136719
76,1986-06-20,142.1702880859375,-22.708648681640625
77,1986-06-27,123.70584869384766,-18.464439392089844
78,1986-07-04,75.04198455810547,-48.66386413574219
79,1986-07-11,67.08998107910156,-7.952003479003906
80,1986-07-18,77.9427719116211,10.852790832519531
81,1986-07-25,38.698219299316406,-39.24455261230469
82,1986-08-01,77.39643859863281,38.698219299316406
83,1986-08-08,48.00822830200195,-29.38821029663086
84,1986-08-15,88.33514404296875,40.3269157409668
85,1986-08-22,65.75816345214844,-22.576980590820312
86,1986-08-29,88.01508331298828,22.256919860839844
87,1986-09-05,84.54349517822266,-3.471588134765625
88,1986-09-12,67.45047760009766,-17.093017578125
89,1986-09-19,129.0610809326172,61.61060333251953
90,1986-09-26,184.8531036376953,55.792022705078125
91,1986-10-03,109.93034362792969,-74.92276000976562
92,1986-10-10,83.3827133178711,-26.547630310058594
93,1986-10-17,104.68611907958984,21.30340576171875
94,1986-10-24,66.69599151611328,-37.99012756347656
95,1986-10-31,137.7216339111328,71.02564239501953
96,1986-11-07,126.54753112792969,-11.174102783203125
97,1986-11-14,57.23658752441406,-69.31094360351562
98,1986-11-21,109.73309326171875,52.49650573730469
99,1986-11-28,115.97611236572266,6.243019104003906
100,1986-12-05,85.11951446533203,-30.856597900390625
101,1986-12-12,121.36563110351562,36.246116638183594
102,1986-12-19,55.440460205078125,-65.9251708984375
103,1986-12-26,73.40869903564453,17.968238830566406
104,1987-01-02,54.75318145751953,-18.655517578125
105,1987-01-09,70.48016357421875,15.726982116699219
106,1987-01-16,127.64022827148438,57.160064697265625
107,1987-01-23,90.67247772216797,-36.967750549316406
108,1987-01-30,133.7183380126953,43.045860290527344
